
 [[5, 3, 7]]
 [[4, 1, 3]]
 [[5, 1, 3]]
 [[8, 3, 3]]
 [[6, 3, 8]]
Nudge One:  [[7, 3, 8]]
 [[4, 6, 1]]
 [[1, 5, 2]]
Nudge One:  [[2, 5, 2]]
 [[2, 2, 4]]
 [[8, 7, 1]]
 [[8, 1, 1]]
 [[0, 8, 2]]
 [[0, 1, 3]]
Nudge Three:  [[0, 1, 4]]
 [[3, 1, 5]]
 [[3, 1, 5]]
 [[5, 7, 5]]
 [[6, 2, 3]]
Nudge Two:  [[6, 3, 3]]
 [[7, 1, 3]]
 [[1, 3, 4]]
Nudge Two:  [[1, 4, 4]]
 [[3, 1, 2]]
 [[4, 1, 1]]
 [[6, 1, 2]]
Nudge One:  [[7, 1, 2]]
 [[7, 5, 8]]
 [[7, 6, 1]]
 [[5, 6, 6]]
 [[8, 8, 6]]
 [[8, 6, 8]]
 [[8, 3, 8]]
 [[8, 5, 8]]
 [[8, 4, 8]]
 [[8, 2, 8]]
 [[8, 6, 8]]
 [[8, 7, 8]]
 [[5, 1, 5]]
Nudge Two:  [[5, 2, 5]]
 [[0, 1, 8]]
Nudge Three:  [[0, 1, 1]]
 [[7, 3, 3]]
 [[6, 1, 7]]
 [[1, 4, 4]]
 [[6, 7, 3]]
 [[2, 8, 4]]
Nudge Two:  [[2, 1, 4]]
 [[1, 3, 3]]
 [[0, 0, 0]]
 [[2, 2, 2]]
 [[1, 2, 1]]
 [[1, 2, 1]]
 [[1, 8, 1]]
 [[3, 2, 4]]
 [[1, 3, 6]]
 [[5, 2, 8]]
 [[1, 8, 7]]
 [[6, 1, 4]]
 [[7, 3, 6]]
 [[1, 3, 1]]
 [[5, 4, 7]]
 [[3, 2, 3]]
 [[4, 8, 2]]
 [[4, 1, 2]]
Nudge Two:  [[4, 2, 2]]
